                nu      tot_opac
341   9.605100e+06  1.700000e-17
342   9.573100e+06  1.690000e-17
343   9.541300e+06  1.670000e-17
344   9.509500e+06  1.660000e-17
345   9.477900e+06  1.650000e-17
346   9.446400e+06  1.640000e-17
347   9.414900e+06  1.630000e-17
348   9.383600e+06  1.620000e-17
349   9.352400e+06  1.610000e-17
350   9.321300e+06  1.590000e-17
351   9.290200e+06  1.580000e-17
352   9.259300e+06  1.570000e-17
353   9.228500e+06  1.560000e-17
354   9.197800e+06  1.550000e-17
355   9.167200e+06  1.540000e-17
356   9.136700e+06  1.530000e-17
357   9.106300e+06  1.520000e-17
358   9.076000e+06  1.510000e-17
359   9.045800e+06  1.500000e-17
360   9.015700e+06  1.490000e-17
361   8.985700e+06  1.480000e-17
362   8.955800e+06  1.470000e-17
363   8.926000e+06  1.460000e-17
364   8.896300e+06  1.450000e-17
365   8.866700e+06  1.440000e-17
366   8.837200e+06  1.430000e-17
367   8.807800e+06  1.420000e-17
368   8.778500e+06  1.410000e-17
369   8.749300e+06  1.400000e-17
370   8.720200e+06  1.390000e-17
371   8.691100e+06  1.380000e-17
372   8.662200e+06  1.370000e-17
373   8.633400e+06  1.360000e-17
374   8.604700e+06  1.350000e-17
375   8.576000e+06  1.340000e-17
376   8.547500e+06  1.330000e-17
377   8.519100e+06  1.320000e-17
378   8.490700e+06  1.310000e-17
379   8.462500e+06  1.310000e-17
380   8.434300e+06  1.300000e-17
381   8.406200e+06  1.290000e-17
382   8.378300e+06  1.280000e-17
383   8.350400e+06  1.270000e-17
384   8.322600e+06  1.260000e-17
385   8.294900e+06  1.250000e-17
386   8.267300e+06  1.240000e-17
387   8.239800e+06  1.230000e-17
388   8.212400e+06  1.230000e-17
389   8.185100e+06  1.220000e-17
390   8.157800e+06  1.210000e-17
391   8.130700e+06  1.200000e-17
392   8.103600e+06  1.190000e-17
393   8.076700e+06  1.180000e-17
394   8.049800e+06  1.180000e-17
395   8.023000e+06  1.170000e-17
396   7.996300e+06  1.160000e-17
397   7.969700e+06  1.150000e-17
398   7.943200e+06  1.140000e-17
399   7.916800e+06  1.140000e-17
400   7.890400e+06  1.130000e-17
401   7.864200e+06  1.120000e-17
402   7.838000e+06  1.110000e-17
403   7.811900e+06  1.110000e-17
404   7.785900e+06  1.100000e-17
405   7.760000e+06  1.090000e-17
406   7.734200e+06  1.080000e-17
407   7.708500e+06  1.080000e-17
408   7.682800e+06  1.070000e-17
409   7.657200e+06  1.060000e-17
410   7.631800e+06  1.050000e-17
411   7.606400e+06  1.050000e-17
